,ratings,location,date,pro,con,up_vote,down_vote,message
155,3.0,"Lexington, KY",2018-12-13,,,1,4,"Its a great job to meet new people and learn from them,  great job to learn how to communicate better to people.  It will increase driving skills and focusing on the road for passenger safety."
156,1.0,"Denver, CO",2018-12-12,There are none,There are A lot,4,1,Uber is not the company you think it is. To Manley people are trying to use this company as a free ride share servos for them. People that use uber for there fun time or professional time they look at us Drivers that we are scum of the universe because all we do is drive all day long. But mos of the time your waiting for rides.
157,4.0,"Salt Lake City, UT",2018-12-12,Work when you want,No benefits and not enough rider demand in SLC for riders because of how many drivers there are.,1,,Great to have when out of work or looking for work. Uber doesn't offer any benefits except car liability insurance when a rider is in your vehicle. Sometimes riders rate you unfairly.
158,4.0,"California City, CA",2018-12-12,,,1,3,A good part time job or extra income for every individual person who like no pressure in terms of time scheduling because as a driver in Uber is freedom
159,4.0,"Washington, DC",2018-12-12,"Flexibility, high potential for earnings",,1,1,You can make decent money driving for Uber in the Metro DC area. The flexibility is the greatest benefit. Drivers should receive proper benefits in my opinion.
160,3.0,"Boston, MA",2019-02-13,,,4,,Initially was excellent. Has become saturated now with way too many drivers and fares have been reduc d significantly while the percentage uber receive has increased
161,5.0,"Union City, NJ",2018-12-12,,,,3,Bueno se los recomiendo a las personas a mi me fue muy util buenas ganancias pero ahora quiero otro empleo
162,5.0,"Akron, OH",2018-12-11,Dicate schedule,Higher Car Maintenance,,2,I start my day at 6:30 so I can be ready for the surge. The surge is areas people ned the most rides in. Because of that the rates fluctuation higher in my favor. This helps shorten my day of work. Sometimes I'll work at night near bars because surges happen there as well. This gives me time to enjoy my days.
163,4.0,"Santa Barbara, CA",2018-12-11,"Drive on your free time; whenever, wherever","Benefits, pay, protection",4,1,"-You are your own boss-Drive whenever, wherever you want at your convenience-Meeting different people-Going to places you have never been to-The hard part is Uber is taking more than it used to-Sitting/driving for hours because you want to earn more-Time-consuming on some days without really getting the earnings you deserve-No benefits-Almost no protection at all"
164,4.0,"Orlando, FL",2018-12-11,,,1,5,"If you’re disciplined, working for yourself in not bad at all.  Daily pay is what kept working for Uber is what kept me.  Not worth the wear and tear to ones vehicle."
165,5.0,"Compton, CA",2018-12-11,,,,,It's a great way to learn how to run your own business as you are your own boss. Very flexible and very rewarding. great way to make a business connection and display customer service
166,4.0,"Cincinnati, OH",2018-12-11,,,3,1,"I loved that I could literally work as much or as little as I wanted and whenever and where ever I wanted. There are no benefits because technically you are self employed. Uber also takes a huge portion of the fair money, about half of it and they only had to create and mange the app. They dont have to interact or transport people. They have even set it up to where they are in no way responsible if an accident happens."
167,4.0,"Morehead City, NC",2018-12-11,Work independently,"Low pay, automated or scripted responses to questions or concerns.",,,Underpaid for today’s income needs. Different pay scales for different areas. Dubious reputation among some customers. Slow to adjust to the local market and not willing to work or consider opinions of drivers with local knowledge.
168,1.0,"Washington, DC",2018-12-11,None,None,6,1,"Do not work for uber! They are thieves! They take 50% of drivers pay and all they provide is the connection between rider & driver on the app!  There are no benefits. Driver is responsible for everything; gas, insurance, vehicle wear & tear repair."
169,5.0,"Los Angeles, CA",2018-12-11,You get to choose your own work hours.,N/a,1,4,Uner is a great company to drive for your able to managed your routes through use of iPhone app technology. Uner makes sure your vehicle goes thru inspection before you hit the road.
170,1.0,Sanfrancisco,2018-12-10,None always broke,"Work when have too, which is always now",4,,"Constant pay scale changes. Different cities and suburbs pay differently. Get caught in the wrong territory and your making enough to pay for gas. No consistency no more bonuses and no more surge! Cost of 2 sets of tires a year, synthetic oil changes every month and car does 100k miles a year. Ive ruined my car and lost money in the process and can make just enough to keep the slavery up."
171,4.0,"Dallas, TX",2018-12-10,"open work hours, work hen you want",Have to save money for taxs at the end of the year,,,Great company to work with as a contract employee. Get to meet and interact with many different people. Only down fall is that you have to make sure you put money back for the tax man.
172,4.0,"Snellville, GA",2018-12-10,Your own scheduel,Behavior of customers on substances,,,A typical work day was picking up customers and taking them to their requested locations.  In some case it was not a bad job but at night it became a bit concerning due to some customers behaviors from drinking.
173,3.0,"Bronx, NY",2018-12-09,None,None,3,1,Nothing to say i don’t like this job you pay for gas you pay for ezpass and uber paid really bad and you cannot complain because they have a lot of driver
174,4.0,"Louisville, KY",2018-12-09,,,1,3,This is a fun company to work for if you enjoy being your own boss and working your own schedule. You make a really good wage and is fun to meet different people from all over the world.
175,5.0,"Little Rock, AR",2018-12-08,direct earnings,no benefits,3,7,"I enjoyed the freedom of working at my on pace. Meeting lots of  people from all over town that depended on me. Typically a day could be busy or slow depending on how much I choose to participate in work activity. For the most fun part riders were enjoying life and I was making money fast doing what I do daily. With such a tight schedule, busy in my own life. I felt the freedom of time management to making things a lot more easier for me and others. The hardest part was me having to stop working due to my vehicle expired for company standers. I learned that people enjoy the comfort of a relaxing clean ride after such a long busy day."
176,3.0,greater los angeles,2018-12-07,make your own schedule,everything else,7,,"thought it would be enough to pay the bills. It wasnt. rude customers, sporadic incentives, no corporate direction. not a good fit for me and i dont recommend."
177,2.0,"Phoenix, AZ",2018-12-07,,,4,3,"They basically force you to trade your depreciation on your car to live. Drivers need a 30 to 40% increase in rates to make a living, and be able to pay off their car in a timely manner. After depreciation Uber and Lyft give a driver about $0.07 per mile and about 12 cents per minute. I started with a car that had less than 10000 miles on it, it now has over 90 thousand miles. There is no way possible I will get out from underneath this car. I will probably end up defaulting on the loan"
178,5.0,"Nashville, TN",2018-12-07,,,,3,"This was a pleasant job that required me to drive different parts of Nashville and pick up riders. These riders were nice and appreciative for such great service. As far as management you are your manager. You decide if you want to work today and for how long. Hardest part of the job would be when intoxicated people ride, sometimes they can be belligerent or the possibility of them making a mess of your vehicle. Aside from those two things, what was difficult was when people would be mean and give you a false report. Im not sure what you could do about being falsely reported because there really wasn't a protection mechanism for drivers. The most enjoyable part about this job is freedom to do as you wish as long as you follow the rules. Its more of like you are your own boss."
179,4.0,"Los Angeles, CA",2018-12-06,,,3,3,Relaxed job that allows you to work at your own pace and to be your own boss. Work as much as you want or as little. The customers are also very respectful and easy to deal with 9 out of 10 times.
180,1.0,"Houston, TX",2018-12-06,"Networking, great stories and advice.","Poor pay, taken advantage of desperate people, wear and tear, time wasted",10,1,After carefully calculating your earnings you make less to nothing. Only handful of drivers do well and that's if your willing to live in your vehicle. Ubers intent was strictly for supplemental income. Market plays a huge role and if you signed up to free up time and on your time you'll discover to make something you'll have to drive recommended hours but most may not. After expenses and taxes you make less than a fast food chain. Wait time is horrible! If your seeking a little extra money than that's all I recommend Uber for. Part time only. Easily pick up rides to and from but DO NOT put in more than 10 hour shifts . NOT WORTH YOUR TIME.
181,3.0,"Boston, MA",2019-02-13,,,4,,Initially was excellent. Has become saturated now with way too many drivers and fares have been reduc d significantly while the percentage uber receive has increased
182,5.0,"Highland, CA",2018-12-06,,,1,2,This is a job you have to motivate yourself to dso. Sometimes you enjoy and sometimes you have to kick people  out the car. Keep your cool the best way you can. Always be rested up to prepare for whatever comes
183,5.0,"San Diego, CA",2018-12-06,,,1,3,This is an amazing job if you really have an open schedule. You get to choose your own hours. Personally I also couldn't keep up with gas in my city so unfortunately for me I had to resign.
184,4.0,"Riverside, CA",2018-12-06,,,,9,It was so risky and hardly and lose money when i sold my car I can’t stay work i need more i have a kids i mean not enough for everything i trying find work driver with another company who’s give me more salary
185,5.0,"Davenport, IA",2018-12-05,,,1,1,Overall satisfied. It is nice to meet new people and get them to their desired location safely while earning a wage. It can be some what competitive but you learn to work together with other drivers especially when it comes to safely and road conditions.
186,4.0,"Philadelphia, PA",2018-12-05,,,4,3,I love it because I can work the hours I want and I'm in control of how much I make. You meet a lot of interesting and friendly people. Overall I like being a driver.
187,3.0,"Elizabeth, NJ",2018-12-05,Traveling,Pay rate,,,"A typical day wasn't hard at all, it was always nice meeting new people. However, I started driving for Uber when the pay was competitive and now you barely get what was once given. That became a real discouragement and has pushed me away from working for them full time."
188,5.0,North Carolina,2018-12-05,relaxing job,relax,3,2,Love meeting and greeting people. Taking them to their safe place to be dropped off at.  I love that I can be my own boss. I love that I can take a break and check on my family
189,5.0,"Chicago, IL",2018-12-05,,,3,2,"Easy money once you get going but if you find yourself sitting around you'll want to find something else to do. If the TNP lot is full, don't go there, keep moving. Try UberEats those deliveries add up and some people tip in cash."
190,5.0,"Boston, MA",2018-12-04,meet new people,dont know where your going until pick up,2,1,"start early in the morning usually go through the boston area a lot, 10 rides a day sometimes more depends on the day. meet a lot of people daily and is fun."
191,3.0,"New York, NY",2018-12-03,"Self Employed, you make your own schedule.","Low fare per rides, city traffic, horrible incentives, bad customer support, Uber app never up to date, car leasing prices very expensive, waiting for passengers, rude passengers.",7,1,"Driving for Uber is good, your self employed, you are your own boss, you create your schedule, and get to meet fantastic people allowing for a good network. But car leasing is very expensive, the city (NYC) fare per mile is very minimal, Uber incentives are very low they dont offer much for the driver, no benefits. Best part is if you like driving, you will drive all over and travel to new places."
192,2.0,"New Orleans, LA",2018-12-03,,,6,,Uber has no limits on how many drivers they have in New Orleans and they heavily advertise for more all the time. The reason is obvious everytime you stop at a light and feel that you are in an Uber Parade there are other Uber drivers everywhere. No support either.
193,5.0,"Chattanooga, TN",2018-12-03,,,1,1,I have driven for this company since 2014. This is the best company for easy money. I am able to make my own hours. I love being able to meet new people everyday.
194,1.0,"Madison, WI",2018-12-01,None,Everthing!,6,2,This company treats drivers like trash! exploits them! have you ever imagined a very unethical company of rats that has an app as a god! if not! Welcome to gruber!!
195,1.0,"Madison, WI",2018-12-01,None,Everything!,8,2,The most miserable company in the world to work for! Drivers get bad rating for anything and everything! There is no way to know who is giving you a bad rating and why!!
196,4.0,"Seattle, WA",2018-12-01,You make your own schedule,"Poor pay, no benefits, no advancement oportunities",5,3,"I enjoy working for UBER. Being a driver is very fun. You get to meet so many people who come from all walks of life. On a day to day basis, you encounter anywhere from 10 to 40 individuals."
197,3.0,"Bradenton, FL",2018-12-01,Self-paced,Safety in certain areas,3,1,This was a very fun job that allowed me to meet people of very different backgrounds. The work is independent. I have stopped driving for uber because the money I can make with them is not worth the wear and tear on my vehicle.
198,3.0,"New York, NY",2018-12-01,Get to choose your own hours,No guarantee on how much money you are going to make. dealing with NYC traffic.,,2,Driving for Uber in NYC can be fun and exciting but also a pain.As an Uber driver to get to meet some lots of interesting people and some times you get to listen to their stories while driving through beautiful areas of the city.
199,5.0,"Secaucus, NJ",2018-12-01,,,1,1,"Its awesome, you make your own hours, and you decide how much you want to make. most people are very nice. the day goes by fast when youre driving for ."
200,1.0,Michigan,2018-12-01,My riders. Make own hours,"Gps directions very bad, not enough customer service people when needed, instant pay is seriously misrepresentation, Uber does not back up their mistakes.",,1,"I enjoyed meeting people and learning roads better. A lot of nice people  rode in my car. Thanks to them!   I give everyone a 5 star except when someone threw up incessantly without asking to have me stop car or anything at all.   I appreciated my riders that's why I give them 5 stars.   But unless you want to get burned money wise date wise,don't sign up. You will get burned when you least expect it and when you need the money the most.  Instant pay is not always instant even if they screw up and send it to a non existing debit card  you canceled almost a month ago. I made go bank my debit card to have money sent to and receive instantly as of Nov 6 but because their computer system was whacked they sent it to card that doesn't  exist. I had $25 tip tonight that they won't give me either. So now I'm out of money and gas! Living day to day and can't even work Saturday night because they are holding my money that was supposed to be instant pay. Seriously lousy company.  This last week has been the worse. Thanks for nothing uber. You are holding my money illegally."
201,5.0,"Tampa Bay, FL",2018-12-01,self motivation,no benfits,1,1,Look at local web site to see if event are happening in Tampa or surrounding areas. Proceed to area with most activity and turn on app wait till I get a ride request then I pick up the ride & deliver then to the requested destination. I work mostly night time when I am constantly busy.
202,3.0,"Boston, MA",2019-02-13,,,4,,Initially was excellent. Has become saturated now with way too many drivers and fares have been reduc d significantly while the percentage uber receive has increased
203,4.0,"Philadelphia, PA",2018-11-30,Ability to start work and stop work when you want.,Waiting for rides. Unfriendly people.,2,3,"You turn on the app and go to work. You get a request for a ride.It tells you how far away it is, how long the ride may be, etc. You can either accept the ride or decline it. If you decline the ride it affects your acceptance rate and the rides you will get. You are going to get good riders and not so good riders. There are going to be super friendly people and then there are going to be people who are just using you as a service and won't say a word to you. Rides can come back to back and sometimes there can be a long wait in between. Meeting people from different walks of life can be nice.Wear and tear on your car can be tough. Potholes are numerous in the city."
204,1.0,"Houston, TX",2018-11-30,,,6,1,"They will rob money from you, they will treat you like garbage, they are not in favor of their “partners” they close anyone’s uber account based on a costumer false accusation, and many other things, I would write a book if I was to mention everything about them."
205,2.0,"Austin, TX",2018-11-29,Way too much free time,Doesn’t pay well at all after car payment Insurance and maintenance and gas you make nothing,5,1,It once was a good company to work for but they Lee decreasing our pay making it to where we make pennies on the dollar . You can’t even afford to live on this anymore
206,4.0,"Jacksonville, NC",2018-11-28,,,1,1,I enjoy working as an Uber driver.  The job works out for me. I don’t need to put my kids in childcare to work.  I work over night which fits my schedule as a mom.
207,5.0,"Dallas, TX",2018-11-28,Work when I wanted to.,None,,1,Very simple job. Picking up people and take them where they wanted to go. Enjoyed meeting many different people. I also learned the Dallas - Fort Worth area better than I had known.
208,1.0,"Charlottesville, VA",2018-11-28,,,7,,Too many drivers very tiring. In order to make money you have tolwork 50+ a week.  Every year Uber figures out a way to cut our pay.  No benefits.  Love meeting people
209,5.0,"Omaha, NE",2018-11-28,"You Make Your Own Schechule, Good Pay!",If You Work Late Nights Well You’ll Need Extra patience To Deal With Some Annoying People,1,,"I’ve Been Working For 1 yr and 6 Months and There’s Opportunity To Make Good Money Uou Just Need To Be  Driving at The Bussy Times .........,,,,,,,,,,,,,"
210,1.0,"Raleigh, NC",2018-11-27,none,most things.,9,3,"You will average about nine dollars per hour.   Now if you take out the vehicle expense plus fuel you are down to about four to five dollars per hour.  Stress, pedestrians just walk out in front of you like they own the world.   How many billions of dollars has uber squandered on the driverless car fantasty, stupid, it will never happen.   And if it did happen the rates would be double, cost of vehicle new? maintenance? insurance?? electric or gas cost? cost of place to store vehicles?   When those millions of dollars could have gone to help poor hard working drivers put food on the table, barely!  Pay the drivers well and they would not have to advertise for new ones."
211,1.0,La,2018-11-26,None,Dont pay on time . Delays.,4,,To many delays for instant pay . Wich held me back on the weekly bonuses. Uber is not worth it unless you take advantage of the bonuses quest and streaks. Although many delays caused runing out of time to complete those streaks and quest.  Cant uber for free it requires pay for gas to work. I called and was tolled to borrow money from a friend for gas. Meanwhile they fix there instant pay issue. And people will lie and say you picked up the wrong rider after confirming the ride and there really isnt any proof to tell you did and deduct the amount from your account And end on negative balance without your say.
212,1.0,"Tampa, FL",2018-11-26,Work whenever you want,Literally everything else,5,1,The only people that will claim to make money wasting their time with uber are people that don't know the difference between gross and net. Net you're lucky to break $5 bucks an hour.
213,3.0,"Hemet and surround areas, CA",2018-11-26,none,none,1,1,Phone on at 5:30am sit and watch news till a ride comes in. Sometimes I don't get any call for runs.waisted morning. at the start there was no way to call the company.
214,4.0,"Oklahoma City, OK",2018-11-26,Freedom of managing your own time,Slow days/Weeks,2,,"Uber is great for anyone who owns (does not make payments on) a nice newer car to make money off of. You should want to expect to make a ton of money, even, when you don't. If you have free time to spare, have at it!"
215,5.0,"Fort Worth, TX",2018-11-26,,,,,Maintain the cleanliness of you vehicle is probably the most important part of the job. so long as you're polite to the riders you should do just fine in the position
216,4.0,Al Madīnah,2018-11-24,,,1,1,"Uber is the right place where you wanna work a part time job, no work hours required to commit, easy money to collect, nice and different types of customers you can met from all nationalities."
217,3.0,"Thornton, CO",2018-11-24,,,1,3,"With Uber, you can work when you want and turn off the app when you want.  I enjoyed meeting a variety of people, hearing their stories and often being inspired.  I like knowing I am helping people, some who really needed it who were sick or going to the hospital.  I really enjoy talking to visitors about how I love Colorado and all it has to offer.  It was always appreciated when I had advice about how to best spend their tourist hours and money when here."
218,5.0,Somewhere,2018-11-24,"Everything, I love it","No paid time off, expanded rideshare coverage required, low pay per average fare, 30% of pay goes towards gas and vehicle maintenance",3,4,"I am a full time Uber driver. The industry is cut-throat and too much supply cuts demand. I made 16$ an hour and make about 700$ weekly, or about 13.88$ after fuel/maint cost averaging 35$ a day in such expenses. I have picked up and dropped off 10,000 people since last October, this has been an interesting experience.Resume points:•	Picked up and dropped off approximately 10,000 people.•	Maintained a 4.91 driver rating.•	Achieved 1,000 5 star-trips.•	Used interpersonal skills to achieve a desirable and fun environment for passengers.•	Earned over 500 5-star trip positive feedback from passengers on their customer experience.•	Overall, enhanced soft skills by meeting thousands of customers in direct conversation in a fluid and fun environment.Uber Eats is meh, ok, but only if you have a two-door car. I have a sports car and my Uber ride. If my Uber ride is in for repair, I do Uber Eats, otherwise, only do Uber drive... I never do Uber Eats unless I have too.In both Uber and Uber Eats, the closest driver to the customer or restaurant for pick-up gets the fair, but you never know where the best locations to go are unless you go find them. If you sit still... RIP and I will collect your fair!Cuthroat!Get off my Lawn!Uber is super fun and I have this job as a full-time fall-back plan no matter when. I can quit my job and just do Uber fulltime and know my bills will be paid... for me to stop, I would have to make 18$ an hour. I Itemize everything. If I quit making 18$ an hour or get fired because I am in a at-will state, no biggie, I Uber"
219,1.0,"Charlotte, NC",2018-11-23,,"Low Pay, Uber takes a lot and pay less to employees",3,,"Earning by doing part time is very good by driving in Uber. But it is not worth in cities like charlotte. Although UBER is getting more money from customers, they are paying very less to drivers which is like not even 80cents per mile. I can say an example from my recent trip. Uber charged around $13-$14 from the customers for the trip, but i got paid only $6.77. When i contacted the technical team they were saying that the price calculation was correct and they cannot adjust the fare. So driver is not even getting paid half of the customer payment. And they are claiming that they paid according to prices mentioned. I request to uber to change the prices and make earn more to drivers. It is waste of time for us to drive if we are not getting even $1 per mile."
220,5.0,"Boston, MA",2018-11-23,no free lunch,teak brak where ever i want,2,1,sometime make my day sometime no but from last year with uber to this year going bad things no good think alot change only for rider not for drivers. drivers pay from pocket for rider and uber
221,3.0,"Naples, FL",2018-11-22,"get to set your own hours, good for some pocket cash","driver support, lack of benefits",5,,"I've been driving for several months and have had ups and downs with uber. I live in southwest Florida so we get a massive influx of people in the winter. Before people started coming down the pay wasn't great and would vary wildly from day to day. Now that everyone is coming down to winter on the beach the pay has gone up substantially and has become a lot more worth it. I love being able to make my own hours seeing as i work full time at another job in the mornings. I would highly recommend as a way to get some extra pocket cash. BUT their driver support is AWFUL. there is no way to actually contact them unless you call. no online general support. (there is support for specific things but if your complaint isn't an option there is no ""other"") i called on thanksgiving because i had received an order for a restaurant that wasn't open and the uber support man was horribly rude. i could barely hear him because it was so loud. he asked me my birthday and i told him. he responded ""i'm sorry that is incorrect"" and hung up on me! I THINK I KNOW MY OWN BIRTHDAY. then when i went to complain that i was treated poorly i couldn't find anywhere to do so without just calling again. and id be dammed before i called them again. i was livid."
222,4.0,"Silver Spring, MD",2018-11-20,good service,they believe in the passingers and not the drivers so much.,1,2,Uber gives you the oppurtunity to meet interesting people from all cultures.But it does not award their drivers when they accomplish some goals for example. your one thosandth passenger or your 5 thousandth passenger..
223,3.0,"Boston, MA",2019-02-13,,,4,,Initially was excellent. Has become saturated now with way too many drivers and fares have been reduc d significantly while the percentage uber receive has increased
224,4.0,"Jacksonville, NC",2018-11-20,work your own hours,work late nights,,1,If you're not motivated to make extra cash or do what you need to pay your bills UBER is not for you. Peak hours are when clients are going to and from the bar. I usually worked from 8pm until 3am. UBER is not for everyone but its something I needed to do to pay my bills for the time being.
225,4.0,"Phoenix, AZ",2018-11-20,,,1,2,Good place to work if like helping people out and working around any schedule you want. Most flexible career out there of course some time frames are more productive than others.
226,5.0,"Des Moines, IA",2018-11-19,,,2,2,"Driving for uber is a great low stress way to make money, however as a long term career there are no ways to advance. I would highly recommend it as a part time job, but not full time."
227,2.0,"Kansas City, MO",2018-11-19,set your own schedule,pay and no benefits.,4,,"Doesn't pay that great, map is not reliable, You really have to hustle at least here in KC. Not alot of tips because of the way uber sets up their app.  too much competition."
228,5.0,"Phoenix, AZ",2018-11-19,,,3,4,Its a great job if you want to work as a part timer not a full timer. flexible hours andd its a great job to meet people and work at your own pace and schedule.
229,5.0,"Scottsdale, AZ",2018-11-19,Flexibility,Wear & tear on car,,2,If you like driving and chatting with people the this is a great way to make some money quickly. Helps to have a fuel efficient vehicle like a Prius..
230,5.0,"New York, NY",2018-11-19,,Money was not consistent.,1,2,"Uber was a great opportunity to be my own boss and create my own hours, however, I was not able to maintain maintenance for my car. The staff was friendly and efficient."
231,4.0,"Charlotte, NC",2018-11-19,,mileage on vehicle,2,1,Uber was a life raft for me while I was between employment opportunities. I enjoyed the fact that I made my own schedule. I just wish my vehicle was a little more economical on gas.
232,3.0,NJ,2018-11-19,,,,,"not fairly paid when you have to deal with all kinds of people who are nasty or nice, the company does not seem to give much attention to when you have claims of unruly customers.  otherswiwe nice job"
233,2.0,"Washington, DC",2018-11-17,No,No,2,,"is okay to work with uber for some time but you got to work long hour to make money,but i would not advice anybody to work them too long cause you will not make decent money."
234,2.0,"Naples, FL",2018-11-17,,,3,1,"Uber cut too much commission, gas is paid out of pocket, I don't get paid fairly, my car's milage is increasing and it loose their value. they don't have benefits. if you don't work, you will get nothing. No paid vacation leaves etc. you have to work . Only think is uber support is working good when I have some complainings"
235,5.0,"New York, NY",2018-11-17,Nothing is free,yeah you have little break . because you are your own boss.,2,1,"According to me. UBER used to good back in days, but now everyday getting worse and driver getting lot of problem. Uber not paying good rate to drivers, lot of them they quit."
236,3.0,"Phoenix, AZ",2018-11-16,great working environment if you enjoy people.,price per mile and limited number of Black Car spots per city.,3,1,"The only problems with Uber is they lowered the price per mile so low it requires you to put in an extreme amount of hours to make any money. Even doing that you really dont make that much.If you want to move into the higher end Clients which translates to Uber Black Car. There are only a finite number of ""Black Car"" spots. These spots are held predominantly by Bosnian or Serbians.These people hold the Black Car slots and will sell them or pass them on to a relative or countrymen of theirs provided they get a percentage of the profits. They are not very scrupulous and do not like American Drivers or Americans in general."
237,3.0,"Dallas, TX",2018-11-16,,,4,,"You can do this anytimeOne of the many things is there was not any benefits, nothing to supplement gas used. Having to chase surges for extra money.  There was no alert to when surges would happen."
238,4.0,"San Francisco, CA",2018-11-16,,,1,3,This company send ride to member. We receive those ride and they pay for.
239,3.0,"Appleton, WI",2018-11-15,,,2,2,"With my other job, i try to drive on my off days. It is nice to be able to set your own schedule. If there is a problem, they are just a phone call away and they do what they can to solve any issues."
240,3.0,"Dallas-Fort Worth, TX",2018-11-15,,,2,4,"Weather your bored looking for conversation with strangers, or trying to study to advance your career. The flexibility of Uber is great! Drive the areas you won't and don't drive where you don't want to."
241,1.0,"Kansas City, MO",2018-11-15,Love talking to some of the passengers,"People being messy, open containers, and leaving drugs in my car on several occassions",7,,"I did not like passengers messing with my gum, radio and personal things in my vehicle. They were rude and disrespectful at times. People always wanting you to do more than you should. Just not a good place to work for. Poor customer support...."
242,1.0,"Saint Charles, IL",2018-11-14,Instant pay out,Everything else,3,,"Thr new point system is rigged against anyone that is only trying to do this part time. They take more than the advertised 30%.  Had an hour long trip to the city, rider charged 52, I received 26. Upper mgmt just keeps coming up with ways to pay the ones that actually do the work and make the company money, less and less. Drivers are out, dealing with randoms and our personal vehicles, and the ones that punch a keyboard make more?  Makes sense if you dont think about it. Not worth the wear on your car, and now with the new system they are implementing nov 29, uber is becoming a joke to work for. I keep drunks off the road every weekend, not anymore. I'm done."
243,3.0,"Tampa Bay, FL",2018-11-14,,,1,,Great to be your own boss and flexible. Got to be a people person and deal with a lot of different types of people and personalities. At the same time you have to be aware of your surroundings because you are picking up total strangers.
244,3.0,"Boston, MA",2019-02-13,,,4,,Initially was excellent. Has become saturated now with way too many drivers and fares have been reduc d significantly while the percentage uber receive has increased
245,1.0,Melbourne,2018-11-14,Illusion of work,Reality of situation,6,,"Once you pay taxes and calculate hours worked, you will be on 13-15 $ per hour.Kids at maccas make more money than you.Is a waste of your time . Stay away from all rideshares as they all prey on the honest,hardworking,genuine individuals.No holidays,no weekends, low income once taxed,hours at 60+ for any decent  pay."
246,3.0,"Boston, MA",2019-02-13,,,4,,Initially was excellent. Has become saturated now with way too many drivers and fares have been reduc d significantly while the percentage uber receive has increased
247,4.0,"San Antonio, TX 78216",2018-11-05,there's always conventions that keep you busy,"there's so many drivers on the road, you have to position yourself to make money",1,3,"Depending on the time that you get out to drive, it can be fast paced.....  Everybody looks for that unicorn, (A Long Ride)  but sometimes its just a trip to the store or to work down the street...  Either way, don't get upset, just smile and thank them for choosing Uber, that way you will get a great rating and hopefully a tip..."
248,1.0,"San Francisco, CA 94104",2018-11-05,,,7,,Driving for Uber was the waste of time that I never wanted to waste you think you're getting ahead but you're not the price of gas goes up they lower the pay rate it's ridiculous they have you chasing your tail and damaging your car with wear and tear excessively and have no regard for your needs at all
249,4.0,"Corona, CA",2018-11-04,Sightseeing,Lack of restroom breaks,,1,"Typical day departure and arrivals at several L.A. Orange County airports.Hardest part was the consistency of riders, not staying busy enough. Most enjoyable part was great conversations."
250,4.0,"New Orleans, LA",2018-11-04,"quick money, extreme flexible hours, creative of your own schedule",milage and damage can be caused to your vehicle,,2,excellent company for a temporary pay. minor great perks but sometimes its hard to reach. wish for better pay for their UberEats side. above all. great part time job that shouldn't be for full time.
251,4.0,"Albuquerque, NM",2018-11-04,work when you need,miles on vehicle,1,1,"You can make a good salary however you have to place money aside for taxes and fuel. However, it is a good tax break if needed.One of the great things is you can drive when you want or need and it is ideal for the person male or female who has kids going to school to work around their schedule."
252,1.0,"Boston, MA",2018-11-04,,,6,,Working with Uber is wasting time no benefit and they can deactivate your account at any time without any reasons .i hate them because if any customer complains about the driver they deactivate the driver account
253,5.0,"Ada, OK",2018-11-04,,,,3,Drive as much as you want with Uber. The opportunity to meet new people. Make as much as you want. The pay if you are in a metropolitan area is about $35.00 per hour. You are a contractor. Which means you pay the tax and government deductions that would normally be held from your pay by your employer.
254,4.0,"Phoenix, AZ",2018-11-03,,,2,2,This job is not good for a full time. No benefits and perks other than discounts. Your vehicle will take a toll and it will be a big problem especially if you're not a car guy
255,5.0,"Chicago, IL",2018-11-03,fun,feels as I'm working even on off days,,3,"as a Uber driver we are contractors, so we make our schedule as we wish. It is fun greeting and meeting deferent people on every day basis. Help people have a fun time in this Lovely city of Chicago. I got to know my City more than I already knew it."
256,5.0,"Palm Harbor, FL",2018-11-03,Flexible schedule,No hourly wage when on the clock,1,2,Great company to work for but Uber does not pay an hourly wage and also does not give a picture of the customer you are picking up and also does not give the location to where you will drive the customer until you pick the customer up.
257,1.0,new jersey,2018-11-02,,,9,,"one complaint by shared passenger about long route but i followed uber navigation, Upon request from passenger, uber terminated me permanently.   I would suggest to everyone to drive with lyft."
258,2.0,"Austin, TX",2018-11-01,,,5,,"Good job if it was a company car. If you are using your car, it is hard to even break even on the expenses related to work. It has great flexibility, but doesn't ultimately pay much."
259,5.0,"Oklahoma City, OK",2018-11-01,Set your own hours,Wear and Tear on your vehicle,1,2,"Set my own hours, work in the area I want to and meet great people along the way.  Only downside to Uber is the wear and tear on your own personal vehicle."
260,3.0,"Denver, CO",2018-10-31,Very flexible schedule,Minimal day time work,2,1,"You can earn good money with Uber if you are willing to work early mornings, evenings and after bar close. Not much work during the day. High risk of pukers after bar close."
261,4.0,"Nashville, TN",2018-10-31,Work anytime you want,Rude passengers,1,3,"I enjoy working for Uber even though there are moments the sitting all day in a car can take a toll on the physical body. I learned how to navigate Nashville to the days growing up around the city. In addition, I've seen new developments in the areas on where to live and not settle down.From time to time drivers are unable to cater to the passengers all the time. Example, being a friendly driver doesn't mean that passengers will enjoy your input whether it's valid or not. Hardest part of the job is trying to find a human connection with my passengers through communication even if they don't want to create one. Most enjoyable part of the job is being on an adventure and meeting new individuals who wants to get to know their driver for a short time."
262,4.0,"Chicago, IL",2018-10-31,Drive when you want to,All rides are not rated as good in fare,2,2,Start early to collect as many rides to gain control of the promotion before the week is out then just ride to gain the financial aspect of the drive.
